alias,charge_id
113PC,1
114PC,2
115(A)PC,3
118(A)PC,4
118.1PC,5
12020PC,6
12020(A)PC,7
12020(A)1PC,8
12020(A)4PC,9
12021PC,10
12021(A)PC,11
12021(A)1PC,12
12021(C)1PC,13
12021(D)PC,14
12021(E)PC,15
12021.1PC,16
12021.1APC,17
12022.55PC,18
12024PC,19
12025(A)PC,20
12025(A)1PC,21
12025(A)2PC,22
12025(A)3PC,23
12025(B)1PC,24
12025(B)2PC,25
1203.1PC,26
1203.2PC,27
1203.2(A)PC,28
1203.3PC,29
12031PC,30
12031(A)PC,31
12031(A)1PC,32
12031A2BPC,33
12031A2CPC,34
12031A2FPC,35
12034(C)PC,36
12072(D)PC,37
12101(A)PC,38
12101(A)1PC,39
12220(A)PC,40
12280(A)1PC,41
12280(B)PC,42
12303PC,43
12303.2PC,44
12303.3PC,45
12316(A)1PC,46
12316(B)1PC,47
12316B1PC,47
12370(A)PC,48
12403.7PC,49
12403.7APC,50
12403.7GPC,51
12420PC,52
12651(B)PC,53
1275PC,54
1300(A)PC,55
1320.5PC,56
1331PC,57
1331.5PC,58
1332PC,59
134PC,60
136.1(A)1PC,61
136.1(A)2PC,62
136.1(B)1PC,63
136.1(C)1PC,64
1370(A)1PC,65
140(A)PC,66
146A(B)PC,67
148PC,68
148(A)PC,69
148(A)(1)PC,70
148(C)PC,71
148(D)PC,72
148.1(A)PC,73
148.1(B)PC,74
148.1(C)PC,75
148.10(A)PC,76
148.3(A)PC,77
148.5(A)PC,78
148.9PC,79
148.9(A)PC,80
152(A)PC,81
1551.1PC,82
166PC,83
166(A)(1)PC,84
166(A)(4)PC,85
166(A)(9)PC,86
166(C)(1)PC,87
166(C)(4)PC,88
171B(A)PC,89
182(A)PC,90
182(A)(1)PC,91
182(A)(4)PC,92
186.22(A)PC,93
186.33(A)PC,94
187PC,95
A187PC,95
A187(A)PC,96
187(A)PC,96
187(A)PCPOS,96
C187(A)PC,96
18710(A)PC,97
189PC,98
191.5(A)PC,99
191.5(B)PC,100
192(A)PC,101
A192(A)PC,101
192(B)PC,102
192(C)(1)PC,103
192(C)(2)PC,104
19200(B)PC,105
20150(A)PC,106
203PC,107
20310PC,108
205PC,109
206PC,110
207(A)PC,111
A207(A)PC,111
207(B)PC,112
20810(A)PC,113
209(A)PC,114
209(B)PC,115
209(B)(1)PC,116
A209(B)1PC,116
209.5(A)PC,117
210.5PC,118
211PC,119
211PCRSD,119
211PCRFD,119
A211PC,119
21110PC,120
212.5PC,121
212.5(A)PC,122
A212.5(A)PC,122
A212.5(B)PC,123
212.5(C)PC,124
21310PC,125
215PC,126
215(A)PC,127
A215(A)PC,127
21510(A)PC,128
21510(B)PC,129
21810PC,130
220PC,131
22010PC,132
22210PC,133
22410PC,134
22810(G)1PC,135
22900PC,136
236PC,137
236.1(A)PC,138
237(A)PC,139
240PC,140
240-241.1PC,141
241.2(A)PC,142
242PC,143
243(A)PC,144
242-243APC,144
243(B)PC,145
242-243BPC,145
242-243CPC,146
243(C)(1)PC,147
